Gravellona Toce comune,Gravellona Toce comune.1
,
Gravellona Toce – Veduta,Gravellona Toce – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Verbano-Cusio-Ossola
Amministrazione,Amministrazione
Sindaco,Gianni Morandi (lista civica) dal 26-5-2014
Territorio,Territorio
Coordinate,45°56′N 8°26′E
Altitudine,211 m s.l.m.
Superficie,"14,21 km²"
Abitanti,7 637[1] (30-11-2025)
Densità,"537,44 ab./km²"
Frazioni,Granerolo
Comuni confinanti,"Baveno, Casale Corte Cerro, Mergozzo, Omegna, Ornavasso, Stresa, Verbania"
Altre informazioni,Altre informazioni
Cod. postale,28883
Prefisso,0323
Fuso orario,UTC+1
Codice ISTAT,103035
Cod. catastale,E153
Targa,VB
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 579 GG[3]"
Nome abitanti,gravellonesi
Patrono,san Pietro apostolo
Giorno festivo,29 giugno (San Pietro)
Cartografia,Cartografia
Gravellona Toce,Gravellona Toce
Gravellona Toce – MappaPosizione del comune di Gravellona Toce nella provincia del Verbano-Cusio-Ossola,Gravellona Toce – MappaPosizione del comune di Gravellona Toce nella provincia del Verbano-Cusio-Ossola
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
