Mergozzo comune,Mergozzo comune.1
,
Mergozzo – Veduta,Mergozzo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Verbano-Cusio-Ossola
Amministrazione,Amministrazione
Sindaco,Massimiliano Stoto (lista civica)
Territorio,Territorio
Coordinate,45°58′N 8°26′E
Altitudine,204 m s.l.m.
Superficie,27 km²
Abitanti,2 126[1] (30-11-2025)
Densità,"78,74 ab./km²"
Frazioni,"Albo, Bettola, Bracchio, Candoglia, Montorfano, Nibbio, Campone"
Comuni confinanti,"Gravellona Toce, Ornavasso, Premosello-Chiovenda, San Bernardino Verbano, Verbania"
Altre informazioni,Altre informazioni
Cod. postale,28802
Prefisso,0323
Fuso orario,UTC+1
Codice ISTAT,103044
Cod. catastale,F146
Targa,VB
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 570 GG[3]"
Nome abitanti,mergozzesi
Patrono,Santa Maria Vergine Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Mergozzo,Mergozzo
Mergozzo – MappaPosizione del comune di Mergozzo nella provincia del Verbano-Cusio-Ossola,Mergozzo – MappaPosizione del comune di Mergozzo nella provincia del Verbano-Cusio-Ossola
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
