Cossogno comune,Cossogno comune.1
,
Cossogno – Veduta,Cossogno – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Verbano-Cusio-Ossola
Amministrazione,Amministrazione
Sindaco,Doriano Camossi (lista civica) dal 26-5-2014 (3º mandato)
Territorio,Territorio
Coordinate,45°57′49″N 8°30′33″E
Altitudine,398 m s.l.m.
Superficie,"40,26 km²"
Abitanti,667[1] (30-11-2025)
Densità,"16,57 ab./km²"
Frazioni,"Cicogna, Ungiasca"
Comuni confinanti,"Malesco, Miazzina, Premosello-Chiovenda, San Bernardino Verbano, Trontano, Valle Cannobina, Verbania"
Altre informazioni,Altre informazioni
Cod. postale,28801
Prefisso,0323
Fuso orario,UTC+1
Codice ISTAT,103023
Cod. catastale,D099
Targa,VB
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 798 GG[3]"
Nome abitanti,cossognesi
Patrono,san Brizio
Giorno festivo,13 novembre
Cartografia,Cartografia
Cossogno,Cossogno
Cossogno – MappaPosizione di Cossogno nella provincia del Verbano-Cusio-Ossola,Cossogno – MappaPosizione di Cossogno nella provincia del Verbano-Cusio-Ossola
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
