Anzola d'Ossola comune,Anzola d'Ossola comune.1
,
Anzola d'Ossola – VedutaScorcio dell'abitato,Anzola d'Ossola – VedutaScorcio dell'abitato
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Verbano-Cusio-Ossola
Amministrazione,Amministrazione
Sindaco,Andrea Melloni (lista civica) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°59′N 8°20′E
Altitudine,210 m s.l.m.
Superficie,"13,66 km²"
Abitanti,380[1] (30-11-2025)
Densità,"27,82 ab./km²"
Comuni confinanti,"Massiola, Ornavasso, Pieve Vergonte, Premosello-Chiovenda, Valstrona"
Altre informazioni,Altre informazioni
Cod. postale,28877
Prefisso,0323
Fuso orario,UTC+1
Codice ISTAT,103002
Cod. catastale,A325
Targa,VB
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 577 GG[3]"
Nome abitanti,anzolesi
Patrono,San Tommaso
Giorno festivo,21 dicembre
Cartografia,Cartografia
Anzola d'Ossola,Anzola d'Ossola
Anzola d'Ossola – MappaPosizione del comune di Anzola d'Ossola nella provincia del Verbano-Cusio-Ossola,Anzola d'Ossola – MappaPosizione del comune di Anzola d'Ossola nella provincia del Verbano-Cusio-Ossola
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
