Varzo comune,Varzo comune.1
,
Varzo – VedutaIl capoluogo,Varzo – VedutaIl capoluogo
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Verbano-Cusio-Ossola
Amministrazione,Amministrazione
Sindaco,Bruno Stefanetti (lista civica Varzo vivo) dal 26-5-2014
Territorio,Territorio
Coordinate,46°12′27″N 8°15′12″E
Altitudine,568 m s.l.m.
Superficie,"93,77 km²"
Abitanti,1 896[1] (30-11-2025)
Densità,"20,22 ab./km²"
Frazioni,"Alneda, Altreggiolo, Bertonio, Castello, Cattagna, Colla, Coggia, Fontana, Pasquè, Piaggio, Riceno, Riva, Rosso, San Domenico"
Comuni confinanti,"Baceno, Bognanco, Crevoladossola, Crodo, Grengiols (CH-VS), Ried-Brig (CH-VS), Trasquera, Zwischbergen (CH-VS)"
Altre informazioni,Altre informazioni
Cod. postale,28868
Prefisso,0324
Fuso orario,UTC+1
Codice ISTAT,103071
Cod. catastale,L691
Targa,VB
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona F, 3 043 GG[3]"
Nome abitanti,varzesi
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
Varzo,Varzo
Varzo – MappaPosizione di Varzo nella provincia del Verbano-Cusio-Ossola,Varzo – MappaPosizione di Varzo nella provincia del Verbano-Cusio-Ossola
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
