Toceno comune,Toceno comune.1
,
Toceno – VedutaVeduta,Toceno – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Verbano-Cusio-Ossola
Amministrazione,Amministrazione
Sindaco,Tiziano Ferraris (lista civica) dall'8-6-2009 (4º mandato dal 10-6-2024[1])
Territorio,Territorio
Coordinate,46°08′37″N 8°28′02″E
Altitudine,907 m s.l.m.
Superficie,"15,77 km²"
Abitanti,763[2] (30-11-2025)
Densità,"48,38 ab./km²"
Frazioni,Arvogno
Comuni confinanti,"Craveggia, Santa Maria Maggiore"
Altre informazioni,Altre informazioni
Cod. postale,"28858, 28030 (fino al 1997)"
Prefisso,0324
Fuso orario,UTC+1
Codice ISTAT,103065
Cod. catastale,L187
Targa,VB
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona F, 3 484 GG[4]"
Nome abitanti,tocenesi
Patrono,sant'Antonio Abate
Giorno festivo,17 gennaio
Cartografia,Cartografia
Toceno,Toceno
Toceno – MappaPosizione di Toceno nella provincia del Verbano-Cusio-Ossola,Toceno – MappaPosizione di Toceno nella provincia del Verbano-Cusio-Ossola
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
