Arizzano comune,Arizzano comune.1
,
Arizzano – Veduta,Arizzano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Verbano-Cusio-Ossola
Amministrazione,Amministrazione
Sindaco,Enrico Calderoni (lista civica) dall'8-6-2009 (4º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,45°57′19″N 8°35′04″E
Altitudine,458 m s.l.m.
Superficie,"1,6 km²"
Abitanti,1 945[1] (30-11-2025)
Densità,"1 215,63 ab./km²"
Frazioni,"Cissano, Cresseglio"
Comuni confinanti,"Bee, Ghiffa, Verbania, Vignone"
Altre informazioni,Altre informazioni
Cod. postale,28811
Prefisso,0323
Fuso orario,UTC+1
Codice ISTAT,103003
Cod. catastale,A409
Targa,VB
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 900 GG[3]"
Nome abitanti,arizzanesi
Patrono,san Bernardo di Mentone
Giorno festivo,12 giugno
Cartografia,Cartografia
Arizzano,Arizzano
Arizzano – MappaPosizione del comune di Arizzano nella provincia del Verbano-Cusio-Ossola,Arizzano – MappaPosizione del comune di Arizzano nella provincia del Verbano-Cusio-Ossola
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
