Quarna Sotto comune,Quarna Sotto comune.1
,
Quarna Sotto – VedutaVeduta,Quarna Sotto – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Verbano-Cusio-Ossola
Amministrazione,Amministrazione
Sindaco,Gian Mario Trapletti (lista civica) dal 3-4 ottobre 2021
Territorio,Territorio
Coordinate,45°52′10″N 8°21′48″E
Altitudine,802 m s.l.m.
Superficie,"16,05 km²"
Abitanti,372[1] (30-11-2025)
Densità,"23,18 ab./km²"
Comuni confinanti,"Nonio, Omegna, Quarna Sopra, Valstrona, Varallo (VC)"
Altre informazioni,Altre informazioni
Cod. postale,28896
Prefisso,0323
Fuso orario,UTC+1
Codice ISTAT,103059
Cod. catastale,H107
Targa,VB
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 347 GG[3]"
Nome abitanti,quarnesi
Patrono,san Nicolao
Giorno festivo,6 dicembre
Cartografia,Cartografia
Quarna Sotto,Quarna Sotto
Quarna Sotto – MappaPosizione di Quarna Sotto nella provincia del Verbano-Cusio-Ossola,Quarna Sotto – MappaPosizione di Quarna Sotto nella provincia del Verbano-Cusio-Ossola
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
