Calasca-Castiglione comune,Calasca-Castiglione comune.1
,
Calasca-Castiglione – VedutaL'abitato di Castiglione,Calasca-Castiglione – VedutaL'abitato di Castiglione
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Verbano-Cusio-Ossola
Amministrazione,Amministrazione
Sindaco,Silvia Tipaldi (lista civica I valori della montagna) dal 10-6-2018
Territorio,Territorio
Coordinate,46°00′12.2″N 8°10′08.72″E
Altitudine,665 m s.l.m.
Superficie,"57,07 km²"
Abitanti,584[1] (30-11-2025)
Densità,"10,23 ab./km²"
Frazioni,"Antrogna, Barzona, Boretta, Morandone, Calasca Dentro, Castiglione d'Ossola, Colombetti, Duiamen, Gurva,Ielmala, Meggianella, Molini, Pecciola, Pianezzo, Porcareccia, Selvavecchia, Vigino"
Comuni confinanti,"Antrona Schieranco, Bannio Anzino, Borgomezzavalle, Pallanzeno, Piedimulera, Pieve Vergonte, Rimella (VC), Valstrona, Vanzone con San Carlo"
Altre informazioni,Altre informazioni
Cod. postale,28873
Prefisso,0324
Fuso orario,UTC+1
Codice ISTAT,103014
Cod. catastale,B380
Targa,VB
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 169 GG[3]"
Nome abitanti,calaschesi
Patrono,sant'Antonio abate
Giorno festivo,17 gennaio
Cartografia,Cartografia
Calasca-Castiglione,Calasca-Castiglione
Calasca-Castiglione – MappaPosizione di Calasca-Castiglione nella provincia del Verbano-Cusio-Ossola,Calasca-Castiglione – MappaPosizione di Calasca-Castiglione nella provincia del Verbano-Cusio-Ossola
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
