Loreglia comune,Loreglia comune.1
,
Loreglia – Veduta,Loreglia – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Verbano-Cusio-Ossola
Amministrazione,Amministrazione
Sindaco,Paolo Marchesa Grandi (lista civica Camminiamo insieme) dal 10-06-2024
Territorio,Territorio
Coordinate,45°54′24.92″N 8°22′06.22″E
Altitudine,723 m s.l.m.
Superficie,"9,15 km²"
Abitanti,198[1] (30-11-2025)
Densità,"21,64 ab./km²"
Frazioni,"Chesio, Noseglio, Prelo"
Comuni confinanti,"Casale Corte Cerro, Germagno, Ornavasso, Quarna Sopra, Valstrona"
Altre informazioni,Altre informazioni
Cod. postale,"28893, 28020 (fino al 1997)"
Prefisso,0323
Fuso orario,UTC+1
Codice ISTAT,103038
Cod. catastale,E685
Targa,VB
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 239 GG[3]"
Nome abitanti,loregliesi
Patrono,san Gottardo
Giorno festivo,4 maggio
Cartografia,Cartografia
Loreglia,Loreglia
Loreglia – MappaPosizione del comune di Loreglia nella provincia del Verbano-Cusio-Ossola,Loreglia – MappaPosizione del comune di Loreglia nella provincia del Verbano-Cusio-Ossola
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
