Re comune,Re comune.1
,
Re – Veduta,Re – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Verbano-Cusio-Ossola
Amministrazione,Amministrazione
Sindaco,Massimo Patritti (lista civica) dal 27-5-2019 (2º mandato dal 10-06-2024)
Territorio,Territorio
Coordinate,46°07′50″N 8°32′39″E
Altitudine,710 m s.l.m.
Superficie,"27,15 km²"
Abitanti,708[1] (30-11-2025)
Densità,"26,08 ab./km²"
Frazioni,"Dissimo, Folsogno, Isella, Meis, Olgia, Ponte Ribellasca"
Comuni confinanti,"Craveggia, Malesco, Onsernone (CH-TI), Centovalli (CH-TI), Valle Cannobina, Villette"
Altre informazioni,Altre informazioni
Cod. postale,"28856, 28030 (vecchio)"
Prefisso,0324
Fuso orario,UTC+1
Codice ISTAT,103060
Cod. catastale,H203
Targa,VB
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona F, 3 227 GG[3]"
Nome abitanti,reesi
Patrono,san Maurizio
Giorno festivo,15 gennaio
Cartografia,Cartografia
Re,Re
Re – MappaPosizione del comune di Re nella provincia del Verbano-Cusio-Ossola,Re – MappaPosizione del comune di Re nella provincia del Verbano-Cusio-Ossola
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
