Bognanco comune,Bognanco comune.1
,
Bognanco – VedutaVeduta del capoluogo San Lorenzo,Bognanco – VedutaVeduta del capoluogo San Lorenzo
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Verbano-Cusio-Ossola
Amministrazione,Amministrazione
Sindaco,Mauro Valentini (lista civica Per Bognanco) dal 10-6-2018
Territorio,Territorio
Coordinate,46°07′34″N 8°12′00″E
Altitudine,980 m s.l.m.
Superficie,58 km²
Abitanti,198[1] (30-11-2025)
Densità,"3,41 ab./km²"
Frazioni,"Bei, Camisanca, Fonti, Graniga, Monticchio, Moraso, Pianezza, Pioi, Pizzanco, San Lorenzo, San Marco, Torno[2]"
Comuni confinanti,"Antrona Schieranco, Crevoladossola, Domodossola, Montescheno, Trasquera, Zwischbergen (CH-VS)"
Altre informazioni,Altre informazioni
Cod. postale,28842
Prefisso,0324
Fuso orario,UTC+1
Codice ISTAT,103012
Cod. catastale,A925
Targa,VB
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona F, 3 578 GG[4]"
Nome abitanti,bognanchesi
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Bognanco,Bognanco
Bognanco – MappaPosizione di Bognanco nella provincia del Verbano-Cusio-Ossola,Bognanco – MappaPosizione di Bognanco nella provincia del Verbano-Cusio-Ossola
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
