Bore comune,Bore comune.1
,
Bore – VedutaPalazzo comunale,Bore – VedutaPalazzo comunale
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Parma
Amministrazione,Amministrazione
Sindaco,Diego Giusti (Lega) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,44°43′03.7″N 9°47′30.4″E
Altitudine,832 m s.l.m.
Superficie,"43,01 km²"
Abitanti,622[1] (30-11-2025)
Densità,"14,46 ab./km²"
Frazioni,"Bellaria, Castiglione dei Turchi, Felloni, Ferrari, Fiori, Franchi-Salvi, Metti, Mortarelli, Orsi, Pereto, Pozzolo, Pratogrande, Raffi, Ralli, Rovina, Silva, Zani, Zermani"
Comuni confinanti,"Bardi, Morfasso (PC), Pellegrino Parmense, Varano de' Melegari, Varsi, Vernasca (PC)"
Altre informazioni,Altre informazioni
Cod. postale,43030
Prefisso,0525
Fuso orario,UTC+1
Codice ISTAT,034005
Cod. catastale,A987
Targa,PR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 522 GG[3]"
Nome abitanti,boresi
Patrono,San Lorenzo
Cartografia,Cartografia
Bore,Bore
Bore – MappaPosizione del comune di Bore nella provincia di Parma,Bore – MappaPosizione del comune di Bore nella provincia di Parma
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
