Polesine Zibello comune,Polesine Zibello comune.1
,
Polesine Zibello – VedutaPalazzo Pallavicino di Zibello,Polesine Zibello – VedutaPalazzo Pallavicino di Zibello
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Parma
Amministrazione,Amministrazione
Sindaco,Massimo Spigaroli (lista civica Radici & futuro) dal 27-5-2019 (2º mandato dal 10-6-2024)
Data di istituzione,1º gennaio 2016
Territorio,Territorio
Coordinate,45°01′N 10°05′E
Altitudine,35 m s.l.m.
Superficie,"48,51 km²"
Abitanti,3 138[1] (30-11-2025)
Densità,"64,69 ab./km²"
Frazioni,"Ardella, Ardola, La Motta, Ongina, Pieveottoville, Polesine Parmense, Santa Croce, Santa Franca, Vidalenzo, Zibello (sede comunale)[2][3]"
Comuni confinanti,"Busseto, Pieve d'Olmi (CR), Roccabianca, San Daniele Po (CR), Soragna, Stagno Lombardo (CR), Villanova sull'Arda (PC)"
Altre informazioni,Altre informazioni
Cod. postale,43016
Prefisso,0524
Fuso orario,UTC+1
Codice ISTAT,034050
Cod. catastale,M367
Targa,PR
Cl. sismica,zona 3 (sismicità bassa)[4]
Cl. climatica,"zona E, 2 376 GG[5]"
Nome abitanti,polesinesi (Polesine) e zibellini (Zibello)
Patrono,san Carlo Borromeo[6]
Giorno festivo,4 novembre
Cartografia,Cartografia
Polesine Zibello,Polesine Zibello
Polesine Zibello – MappaLocalizzazione del comune di Polesine Zibello in provincia di Parma,Polesine Zibello – MappaLocalizzazione del comune di Polesine Zibello in provincia di Parma
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
