Terenzo comune,Terenzo comune.1
,
Terenzo – Veduta,Terenzo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Parma
Amministrazione,Amministrazione
Sindaco,Danilo Bevilacqua (lista civica Proseguiamo nel cambiamento) dal 25-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,44°36′36.5″N 10°05′15.9″E
Altitudine,541 m s.l.m.
Superficie,"72,7 km²"
Abitanti,1 136[1] (30-11-2025)
Densità,"15,63 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Berceto, Calestano, Fornovo di Taro, Sala Baganza, Solignano"
Altre informazioni,Altre informazioni
Cod. postale,43040
Prefisso,0525
Fuso orario,UTC+1
Codice ISTAT,034038
Cod. catastale,E548
Targa,PR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 150 GG[3]"
Nome abitanti,terenzini
Cartografia,Cartografia
Terenzo,Terenzo
Terenzo – MappaPosizione del comune di Terenzo nella provincia di Parma,Terenzo – MappaPosizione del comune di Terenzo nella provincia di Parma
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
