Solignano comune,Solignano comune.1
,
Solignano – Veduta,Solignano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Parma
Amministrazione,Amministrazione
Sindaco,Ignazio Vincenzo Cannas (centro-sinistra Noi ci saremo insieme per cambiare) dal 15-5-2023
Territorio,Territorio
Coordinate,44°37′N 9°59′E
Altitudine,232 m s.l.m.
Superficie,"73,14 km²"
Abitanti,1 648[1] (30-11-2025)
Densità,"22,53 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Berceto, Fornovo di Taro, Terenzo, Valmozzola, Varano de' Melegari, Varsi"
Altre informazioni,Altre informazioni
Cod. postale,43040
Prefisso,0525
Fuso orario,UTC+1
Codice ISTAT,034035
Cod. catastale,I803
Targa,PR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 754 GG[3]"
Nome abitanti,solignanesi
Cartografia,Cartografia
Solignano,Solignano
Solignano – MappaPosizione del comune di Solignano nella provincia di Parma,Solignano – MappaPosizione del comune di Solignano nella provincia di Parma
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
