Salsomaggiore Terme comune,Salsomaggiore Terme comune.1
,
Salsomaggiore Terme – VedutaPanorama della città,Salsomaggiore Terme – VedutaPanorama della città
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Parma
Amministrazione,Amministrazione
Sindaco,Luca Musile Tanzi (indipendente di centro-destra) dal 15-5-2023
Territorio,Territorio
Coordinate,44°48′56.3″N 9°58′41.9″E
Altitudine,157 m s.l.m.
Superficie,"81,5 km²"
Abitanti,20 628[1] (30-11-2025)
Densità,"253,1 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Alseno (PC), Fidenza, Medesano, Pellegrino Parmense, Vernasca (PC)"
Altre informazioni,Altre informazioni
Cod. postale,43039
Prefisso,0524
Fuso orario,UTC+1
Codice ISTAT,034032
Cod. catastale,H720
Targa,PR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 601 GG[3]"
Patrono,san Vitale
Giorno festivo,28 aprile
Cartografia,Cartografia
Salsomaggiore Terme,Salsomaggiore Terme
Salsomaggiore Terme – MappaPosizione del comune di Salsomaggiore Terme nella provincia di Parma,Salsomaggiore Terme – MappaPosizione del comune di Salsomaggiore Terme nella provincia di Parma
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
