Collecchio comune,Collecchio comune.1
,
Collecchio – VedutaPiazza della Repubblica con sullo sfondo il palazzo nuovo del Municipio,Collecchio – VedutaPiazza della Repubblica con sullo sfondo il palazzo nuovo del Municipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Parma
Amministrazione,Amministrazione
Sindaco,Maristella Galli (lista civica di centro-sinistra Collecchio insieme) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,44°45′09.7″N 10°12′56.5″E
Altitudine,112 m s.l.m.
Superficie,"58,83 km²"
Abitanti,14 900[1] (30-11-2025)
Densità,"253,27 ab./km²"
Frazioni,"Gaiano, Lemignano, Madregolo, Ozzano Taro, Pontescodogna, San Martino Sinzano[2]"
Comuni confinanti,"Fornovo di Taro, Medesano, Noceto, Parma, Sala Baganza"
Altre informazioni,Altre informazioni
Cod. postale,43044
Prefisso,0521
Fuso orario,UTC+1
Codice ISTAT,034009
Cod. catastale,C852
Targa,PR
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 600 GG[4]"
Nome abitanti,collecchiesi
Patrono,san Prospero
Giorno festivo,24 novembre
Cartografia,Cartografia
Collecchio,Collecchio
Collecchio – MappaPosizione del comune di Collecchio nella provincia di Parma,Collecchio – MappaPosizione del comune di Collecchio nella provincia di Parma
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
