Fontevivo comune,Fontevivo comune.1
,
Fontevivo – VedutaAbbazia di San Bernardo,Fontevivo – VedutaAbbazia di San Bernardo
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Parma
Amministrazione,Amministrazione
Sindaco,Mariavittoria Rusca (LN) dal 26-05-2025
Territorio,Territorio
Coordinate,44°51′23.3″N 10°10′34.4″E
Altitudine,53 m s.l.m.
Superficie,"26,41 km²"
Abitanti,5 538[1] (30-11-2025)
Densità,"209,69 ab./km²"
Frazioni,"Bellena, Bianconese, Case Cantarana, Case Gaiffa, Case Massi, Castelguelfo, Fienilnuovo, Fondo Fontana, Fontane, Molinetto, Ponte Recchio, Ponte Taro, Recchio di Sotto, Romitaggio, Stazione Castelguelfo, Tarona, Torchio"
Comuni confinanti,"Fontanellato, Noceto, Parma"
Altre informazioni,Altre informazioni
Cod. postale,43010
Prefisso,0521
Fuso orario,UTC+1
Codice ISTAT,034016
Cod. catastale,D685
Targa,PR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 610 GG[3]"
Nome abitanti,Fontevivesi
Patrono,san Bernardo
Giorno festivo,20 agosto
Cartografia,Cartografia
Fontevivo,Fontevivo
Fontevivo – MappaPosizione del comune di Fontevivo nella provincia di Parma,Fontevivo – MappaPosizione del comune di Fontevivo nella provincia di Parma
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
