Compiano comune,Compiano comune.1
,
Compiano – VedutaPanorama su Compiano dall'oratorio di Santa Lucia di Isola,Compiano – VedutaPanorama su Compiano dall'oratorio di Santa Lucia di Isola
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Parma
Amministrazione,Amministrazione
Sindaco,"Francesco Mariani (lista civica Compiano, tradizione e futuro) dal 27-5-2019 (2º mandato dal 9-6-2024)"
Territorio,Territorio
Coordinate,44°29′43.6″N 9°39′45.3″E
Altitudine,519 m s.l.m.
Superficie,"37,53 km²"
Abitanti,1 046[1] (30-11-2025)
Densità,"27,87 ab./km²"
Frazioni,"Barbigarezza, Breia, Caboara, Casello, Cereseto, Costa, Farfanaro, Isola, Paradiso, Piano delle Moglie, Ponte di Compiano, Premassato,Rio, Roncodesiderio, Sambuceto, Strela, Sugremaro, Trario, Villa"
Comuni confinanti,"Albareto, Bardi, Bedonia, Borgo Val di Taro, Tornolo"
Altre informazioni,Altre informazioni
Cod. postale,43053
Prefisso,0525
Fuso orario,UTC+1
Codice ISTAT,034011
Cod. catastale,C934
Targa,PR
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona F, 3 024 GG[3]"
Nome abitanti,compianesi
Cartografia,Cartografia
Compiano,Compiano
Compiano – MappaPosizione del comune di Compiano nella provincia di Parma,Compiano – MappaPosizione del comune di Compiano nella provincia di Parma
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
