Varano de' Melegari comune,Varano de' Melegari comune.1
,
Varano de' Melegari – Veduta,Varano de' Melegari – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Parma
Amministrazione,Amministrazione
Sindaco,Cristina Gabelli (lista civica di centro-sinistra) dal 9-6-2025
Territorio,Territorio
Coordinate,44°41′13″N 10°00′51″E
Altitudine,190 m s.l.m.
Superficie,"64,92 km²"
Abitanti,2 588[1] (30-11-2025)
Densità,"39,86 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Bore, Fornovo di Taro, Medesano, Pellegrino Parmense, Solignano, Varsi"
Altre informazioni,Altre informazioni
Cod. postale,43040
Prefisso,0525
Fuso orario,UTC+1
Codice ISTAT,034045
Cod. catastale,L672
Targa,PR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 700 GG[3]"
Nome abitanti,varanesi
Patrono,san Martino
Cartografia,Cartografia
Varano de' Melegari,Varano de' Melegari
Varano de' Melegari – MappaPosizione del comune di Varano de' Melegari nella provincia di Parma,Varano de' Melegari – MappaPosizione del comune di Varano de' Melegari nella provincia di Parma
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
