Montechiarugolo comune,Montechiarugolo comune.1
,
Montechiarugolo – VedutaCastello di Montechiarugolo,Montechiarugolo – VedutaCastello di Montechiarugolo
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Parma
Amministrazione,Amministrazione
Sindaco,Daniele Friggeri (lista civica di centro-sinistra Noi di Montechiarugolo) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,44°41′36.2″N 10°25′20.7″E
Altitudine,128 m s.l.m.
Superficie,"48,2 km²"
Abitanti,11 446[1] (30-11-2025)
Densità,"237,47 ab./km²"
Frazioni,"Basilicagoiano, Basilicanova, Cantone di Pariano, Case Nuove, Castello, Convento, Fornace Vecchia, La Fratta, Lovetta, Malcantone, Masdone, Morzola, Monte, Monticelli Chiesa, Monticelli Terme, Pecorile, Piazza, Piazzola, San Geminiano, Santa Felicola, Scornavacca, Torretta, Tortiano, Tre Fiumi, Tripoli"
Comuni confinanti,"Montecchio Emilia (RE), Parma, San Polo d'Enza (RE), Sant'Ilario d'Enza (RE), Traversetolo"
Altre informazioni,Altre informazioni
Cod. postale,43022
Prefisso,0521
Fuso orario,UTC+1
Codice ISTAT,034023
Cod. catastale,F473
Targa,PR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 626 GG[3]"
Nome abitanti,montechiarugolesi
Patrono,san Quintino
Giorno festivo,31 ottobre
Cartografia,Cartografia
Montechiarugolo,Montechiarugolo
Montechiarugolo – MappaPosizione del comune di Montechiarugolo nella provincia di Parma,Montechiarugolo – MappaPosizione del comune di Montechiarugolo nella provincia di Parma
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
