Felino comune,Felino comune.1
,
Felino – VedutaPalazzo comunale,Felino – VedutaPalazzo comunale
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Parma
Amministrazione,Amministrazione
Sindaco,Filippo Casolari (lista civica e centro-destra) dal 4-10-2021
Territorio,Territorio
Coordinate,44°41′43.2″N 10°14′29.6″E
Altitudine,180 m s.l.m.
Superficie,"38,35 km²"
Abitanti,9 239[1] (30-11-2025)
Densità,"240,91 ab./km²"
Frazioni,"Barbiano, Casale, Cevola, Poggio di Sant'Ilario Baganza, Sant'Ilario Baganza, San Michele Gatti, San Michele Tiorre, Soragnola.[2]"
Comuni confinanti,"Calestano, Langhirano, Parma, Sala Baganza"
Altre informazioni,Altre informazioni
Cod. postale,43035
Prefisso,0521
Fuso orario,UTC+1
Codice ISTAT,034013
Cod. catastale,D526
Targa,PR
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 694 GG[4]"
Nome abitanti,felinesi
Cartografia,Cartografia
Felino,Felino
Felino – MappaPosizione del comune di Felino nella provincia di Parma,Felino – MappaPosizione del comune di Felino nella provincia di Parma
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
