Varsi comune,Varsi comune.1
,
Varsi – VedutaPiazza Monumento,Varsi – VedutaPiazza Monumento
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Parma
Amministrazione,Amministrazione
Sindaco,Giovanni Ilariuzzi (lista civica Nuovi obiettivi per Varsi) dal 9-6-2024
Territorio,Territorio
Coordinate,44°39′46.2″N 9°50′45″E
Altitudine,426 m s.l.m.
Superficie,"80,07 km²"
Abitanti,1 150[1] (30-11-2025)
Densità,"14,36 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Bardi, Bore, Solignano, Valmozzola, Varano de' Melegari"
Altre informazioni,Altre informazioni
Cod. postale,43049
Prefisso,0525
Fuso orario,UTC+1
Codice ISTAT,034046
Cod. catastale,L689
Targa,PR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 984 GG[3]"
Nome abitanti,varsigiani
Cartografia,Cartografia
Varsi,Varsi
Varsi – MappaPosizione del comune di Varsi nella provincia di Parma,Varsi – MappaPosizione del comune di Varsi nella provincia di Parma
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
