Fornovo di Taro comune,Fornovo di Taro comune.1
,
Fornovo di Taro – Veduta,Fornovo di Taro – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Parma
Amministrazione,Amministrazione
Sindaco,Emanuela Grenti (lista civica di centro-destra Di più per Fornovo) dal 10-6-2024
Territorio,Territorio
Coordinate,44°41′N 10°06′E
Altitudine,158 m s.l.m.
Superficie,"57,52 km²"
Abitanti,6 044[1] (30-11-2025)
Densità,"105,08 ab./km²"
Frazioni,"Banzola, Cafragna, Camporosso, Case Borgheggiani, Caselle, Case Rosa, Case Stefanini, Citerna, Citerna Vecchia, Faseto, Fornace, La Costla, La Magnana, Le Capanne, Neviano de' Rossi, Osteriazza, Piantonia, Piazza, Provinciali, Respiccio, Riccò, Roncolongo, Salita-Riola, Sivizzano, Spagnano, Triano, Villanova, Vizzola"
Comuni confinanti,"Collecchio, Medesano, Sala Baganza, Solignano, Terenzo, Varano de' Melegari"
Altre informazioni,Altre informazioni
Cod. postale,43045
Prefisso,0525
Fuso orario,UTC+1
Codice ISTAT,034017
Cod. catastale,D728
Targa,PR
Cl. sismica,zona 3 (sismicità bassa)[2]
Nome abitanti,fornovesi
Cartografia,Cartografia
Fornovo di Taro,Fornovo di Taro
Fornovo di Taro – MappaPosizione del comune di Fornovo di Taro nella provincia di Parma,Fornovo di Taro – MappaPosizione del comune di Fornovo di Taro nella provincia di Parma
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
