Parma comune,Parma comune.1
,
Parma – VedutaPanorama sul centro storico dal campanile del duomo,Parma – VedutaPanorama sul centro storico dal campanile del duomo
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Parma
Amministrazione,Amministrazione
Sindaco,Michele Guerra (indipendente di centro-sinistra) dal 1-7-2022
Territorio,Territorio
Coordinate,44°48′05.3″N 10°19′40.8″E
Altitudine,69 m s.l.m.
Superficie,"260,6 km²"
Abitanti,199 449[1] (30-11-2025)
Densità,"765,35 ab./km²"
Frazioni,(Vedi sezione)
Comuni confinanti,"Collecchio, Felino, Fontanellato, Fontevivo, Gattatico (RE), Langhirano, Lesignano de' Bagni, Montechiarugolo, Noceto, Sala Baganza, Sissa Trecasali, Sorbolo Mezzani, Torrile, Traversetolo, Sant'Ilario d'Enza (RE)"
Altre informazioni,Altre informazioni
Cod. postale,43121–43126
Prefisso,0521
Fuso orario,UTC+1
Codice ISTAT,034027
Cod. catastale,G337
Targa,PR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 502 GG[3]"
Nome abitanti,parmigiani[4]
Patrono,sant'Ilario di Poitiers[5]
Giorno festivo,13 gennaio
Cartografia,Cartografia
Parma,Parma
Parma – MappaPosizione del comune di Parma nell'omonima provincia,Parma – MappaPosizione del comune di Parma nell'omonima provincia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
