Calestano comune,Calestano comune.1
,
Calestano – VedutaVia Giuseppe Mazzini,Calestano – VedutaVia Giuseppe Mazzini
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Parma
Amministrazione,Amministrazione
Sindaco,Enzo Magri (lista civica Uniti per cambiare Calestano) dal 09-6-2024
Territorio,Territorio
Coordinate,44°36′02″N 10°07′19.3″E
Altitudine,417 m s.l.m.
Superficie,"57,36 km²"
Abitanti,2 184[1] (30-11-2025)
Densità,"38,08 ab./km²"
Frazioni,"Alpicella, Borsano, Canesano, Chiastre, Castello di Ravarano, Fragno, Giarale, Iano, Linara, Marzolara, Ramiano, Ravarano, San Remigio, Tavolana, Torre di Marzolara, Vallerano, Vigolone[2]"
Comuni confinanti,"Berceto, Corniglio, Felino, Langhirano, Sala Baganza, Terenzo"
Altre informazioni,Altre informazioni
Cod. postale,43030
Prefisso,0525
Fuso orario,UTC+1
Codice ISTAT,034008
Cod. catastale,B408
Targa,PR
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 991 GG[4]"
Nome abitanti,calestanesi
Cartografia,Cartografia
Calestano,Calestano
Calestano – MappaPosizione del comune di Calestano nella provincia di Parma,Calestano – MappaPosizione del comune di Calestano nella provincia di Parma
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
