Monchio delle Corti comune,Monchio delle Corti comune.1
,
Monchio delle Corti – VedutaMunicipio,Monchio delle Corti – VedutaMunicipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Parma
Amministrazione,Amministrazione
Sindaco,Claudio Riani (lista civica Monchio 2019) dal 7-6-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,44°24′44.5″N 10°07′24″E
Altitudine,820 m s.l.m.
Superficie,"69,04 km²"
Abitanti,828[1] (30-11-2025)
Densità,"11,99 ab./km²"
Frazioni,"Aneta, Antria, Bastia, Casarola, Ceda, Cozzanello, Lugagnano Inferiore, Lugagnano Superiore, Monchio Basso, Montale, Pianadetto, Ponte Lugagnano, Prato, Riana, Rigoso, Rimagna, Ticchiano, Trecoste, Trefiumi, Trincera, Valditacca, Vecciatica"
Comuni confinanti,"Bagnone (MS), Comano (MS), Corniglio, Licciana Nardi (MS), Palanzano, Ventasso (RE)"
Altre informazioni,Altre informazioni
Cod. postale,43010
Prefisso,0521
Fuso orario,UTC+1
Codice ISTAT,034022
Cod. catastale,F340
Targa,PR
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona F, 3 595 GG[3]"
Nome abitanti,Monchiesi
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Monchio delle Corti,Monchio delle Corti
Monchio delle Corti – MappaPosizione del comune di Monchio delle Corti nella provincia di Parma,Monchio delle Corti – MappaPosizione del comune di Monchio delle Corti nella provincia di Parma
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
