Traversetolo comune,Traversetolo comune.1
,
Traversetolo – VedutaPanorama del paese dalla collina di Guardasone,Traversetolo – VedutaPanorama del paese dalla collina di Guardasone
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Parma
Amministrazione,Amministrazione
Sindaco,Simone dall'Orto (centro-destra) dal 6-6-2016 (2º mandato dal 3-10-2021)
Territorio,Territorio
Coordinate,44°38′23.8″N 10°22′54.3″E
Altitudine,176 m s.l.m.
Superficie,"54,86 km²"
Abitanti,9 695[1] (30-11-2025)
Densità,"176,72 ab./km²"
Frazioni,"Bannone, Castione de' Baratti, Cazzola, Guardasone, Mamiano, Sivizzano, Torre, Vignale[2]"
Comuni confinanti,"Canossa (RE), Lesignano de' Bagni, Montechiarugolo, Neviano degli Arduini, Parma, San Polo d'Enza (RE)"
Altre informazioni,Altre informazioni
Cod. postale,43029
Prefisso,0521
Fuso orario,UTC+1
Codice ISTAT,034042
Cod. catastale,L346
Targa,PR
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 682 GG[4]"
Nome abitanti,traversetolesi
Patrono,san Martino
Giorno festivo,11 novembre
Cartografia,Cartografia
Traversetolo,Traversetolo
Traversetolo – MappaPosizione del comune di Traversetolo nella provincia di Parma,Traversetolo – MappaPosizione del comune di Traversetolo nella provincia di Parma
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
