Fontanellato comune,Fontanellato comune.1
,
Fontanellato – VedutaRocca Sanvitale,Fontanellato – VedutaRocca Sanvitale
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Parma
Amministrazione,Amministrazione
Sindaco,"Luigi Spinazzi (lista civica di centro-sinistra ""Fontanellato Progresso"" sostenuta dal PD) dal 4-10-2021"
Territorio,Territorio
Coordinate,44°52′56.7″N 10°10′23″E
Altitudine,45 m s.l.m.
Superficie,"53,98 km²"
Abitanti,7 095[1] (30-11-2025)
Densità,"131,44 ab./km²"
Frazioni,"Albareto, Cannetolo, Casalbarbato, Ghiara, Ghiara Sabbioni, Grugno, Parola, Paroletta, Priorato, Rosso, Sanguinaro, Toccalmatto"
Comuni confinanti,"Fidenza, Fontevivo, Noceto, Parma, San Secondo Parmense, Sissa Trecasali, Soragna"
Altre informazioni,Altre informazioni
Cod. postale,43012
Prefisso,0521
Fuso orario,UTC+1
Codice ISTAT,034015
Cod. catastale,D673
Targa,PR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 488 GG[3]"
Nome abitanti,fontanellatesi
Patrono,santa Croce
Giorno festivo,3 maggio
Cartografia,Cartografia
Fontanellato,Fontanellato
Fontanellato – MappaPosizione del comune di Fontanellato nella provincia di Parma,Fontanellato – MappaPosizione del comune di Fontanellato nella provincia di Parma
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
