Sorbolo Mezzani comune,Sorbolo Mezzani comune.1
Sorbolo Mezzani – Veduta,Sorbolo Mezzani – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Parma
Amministrazione,Amministrazione
Capoluogo,Sorbolo
Sindaco,Nicola Cesari (lista civica di centro-sinistra Sorbolo Mezzani guarda al futuro) dal 10-6-2024
Data di istituzione,1º gennaio 2019
Territorio,Territorio
Coordinate del capoluogo,44°54′12.9″N 10°28′06.9″E
Altitudine,30 m s.l.m.
Superficie,"66,97 km²"
Abitanti,13 146[1] (30-11-2025)
Densità,"196,3 ab./km²"
Frazioni,"Bocca d'Enza, Bogolese, Casale (sede comunale sussidiaria), Casaltone, Coenzo, Corte Godi, Enzano, Frassinara, Ghiare Bonvisi, Mazzabue, Mezzano Inferiore, Mezzano Rondani, Mezzano Superiore, Ramoscello, Sorbolo (sede comunale), Valle"
Comuni confinanti,"Brescello (RE), Casalmaggiore (CR), Colorno, Gattatico (RE), Parma, Torrile, Viadana (MN)"
Altre informazioni,Altre informazioni
Cod. postale,43058
Prefisso,0521
Fuso orario,UTC+1
Codice ISTAT,034051
Cod. catastale,M411
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 439 GG[3]"
Nome abitanti,"sorbolesi, mezzanesi, sorbolo mezzanesi"
Patrono,"santi Faustino e Giovita (Sorbolo), san Silvestro (Mezzani)"
Giorno festivo,"15 febbraio, 31 dicembre"
Cartografia,Cartografia
Sorbolo,Sorbolo
Sorbolo Mezzani – MappaPosizione del comune di Sorbolo Mezzani nella provincia di Parma,Sorbolo Mezzani – MappaPosizione del comune di Sorbolo Mezzani nella provincia di Parma
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
