Corniglio comune,Corniglio comune.1
,
Corniglio – VedutaCastello di Corniglio,Corniglio – VedutaCastello di Corniglio
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Parma
Amministrazione,Amministrazione
Sindaco,Paolo Quagliaroli (lista civica Alta Val Parma Civica) dal 10-6-2024
Territorio,Territorio
Coordinate,44°29′N 10°05′E
Altitudine,688 m s.l.m.
Superficie,"165,7 km²"
Abitanti,1 784[1] (30-11-2025)
Densità,"10,77 ab./km²"
Frazioni,"Agna, Agrimonte, Ballone, Beduzzo, Bellasola, Bosco, Braia, Canetolo, Cirone, Curatico, Graiana, Grammatica, Lago, Marra, Miano, Montebello, Mossale, Petrignacola, Pugnetolo, Roccaferrara, Sauna, Sesta, Signatico, Sivizzo, Vestana, Vestola-Ghiare, Villula,[2][3]"
Comuni confinanti,"Bagnone (MS), Berceto, Calestano, Filattiera (MS), Langhirano, Monchio delle Corti, Palanzano, Pontremoli (MS), Tizzano Val Parma"
Altre informazioni,Altre informazioni
Cod. postale,43021
Prefisso,0521
Fuso orario,UTC+1
Codice ISTAT,034012
Cod. catastale,D026
Targa,PR
Cl. sismica,zona 3 (sismicità bassa)[4]
Cl. climatica,"zona F, 3 429 GG[5]"
Nome abitanti,cornigliesi
Patrono,San Lucio e Sant'Amanzio
Giorno festivo,6 giugno
Cartografia,Cartografia
Corniglio,Corniglio
Corniglio – MappaPosizione del comune di Corniglio nella provincia di Parma,Corniglio – MappaPosizione del comune di Corniglio nella provincia di Parma
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
