Roccabianca comune,Roccabianca comune.1
,
Roccabianca – VedutaPiazza Loris Minozzi,Roccabianca – VedutaPiazza Loris Minozzi
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Parma
Amministrazione,Amministrazione
Sindaco,Alessandro Gattara (lista civica Roccabianca Civica 2024) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,45°00′31.08″N 10°13′11.42″E
Altitudine,32 m s.l.m.
Superficie,"40,46 km²"
Abitanti,2 937[1] (30-11-2025)
Densità,"72,59 ab./km²"
Frazioni,"Fontanelle, Fossa, Ragazzola, Rigosa, Stagno"
Comuni confinanti,"Motta Baluffi (CR), Polesine Zibello, San Daniele Po (CR), San Secondo Parmense, Sissa Trecasali, Soragna, Torricella del Pizzo (CR)"
Altre informazioni,Altre informazioni
Cod. postale,43010
Prefisso,0521
Fuso orario,UTC+1
Codice ISTAT,034030
Cod. catastale,H384
Targa,PR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 498 GG[3]"
Nome abitanti,roccabianchini
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Roccabianca,Roccabianca
Roccabianca – MappaPosizione del comune di Roccabianca nella provincia di Parma,Roccabianca – MappaPosizione del comune di Roccabianca nella provincia di Parma
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
