Noceto comune,Noceto comune.1
,
Noceto – VedutaRocca dei Sanvitale,Noceto – VedutaRocca dei Sanvitale
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Parma
Amministrazione,Amministrazione
Sindaco,"Fabio Fecci (lista civica ""Liberi e Uniti per il Paese"") dall'11-11-2011 (3º mandato dal 10-6-2024)"
Territorio,Territorio
Coordinate,44°48′35.1″N 10°10′38.2″E
Altitudine,74 m s.l.m.
Superficie,"79,17 km²"
Abitanti,13 371[1] (30-11-2025)
Densità,"168,89 ab./km²"
Frazioni,"Borghetto, Cella, Costamezzana, Ponte Taro, Sanguinaro, Ghiaie inferiori, di mezzo e superiori, La Rampa."
Comuni confinanti,"Collecchio, Fidenza, Fontanellato, Fontevivo, Medesano, Parma"
Altre informazioni,Altre informazioni
Cod. postale,43015
Prefisso,0521
Fuso orario,UTC+1
Codice ISTAT,034025
Cod. catastale,F914
Targa,PR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 638 GG[3]"
Nome abitanti,Nocetani
Patrono,san Martino
Giorno festivo,11 novembre
Cartografia,Cartografia
Noceto,Noceto
Noceto – MappaPosizione del comune di Noceto nella provincia di Parma,Noceto – MappaPosizione del comune di Noceto nella provincia di Parma
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
