Lesignano de' Bagni comune,Lesignano de' Bagni comune.1
,
Lesignano de' Bagni – VedutaPiazza IV Novembre,Lesignano de' Bagni – VedutaPiazza IV Novembre
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Parma
Amministrazione,Amministrazione
Sindaco,Andrea Borchini (centro-sinistra) dal 10-6-2024
Territorio,Territorio
Coordinate,44°38′34.8″N 10°17′58″E
Altitudine,252 m s.l.m.
Superficie,"47,49 km²"
Abitanti,5 151[1] (30-11-2025)
Densità,"108,46 ab./km²"
Frazioni,"Bassa, Caseificio, Cavirano, Costa, Faviano di Sopra, Faviano di Sotto, Fienile, Fossola, La Porta, Masdone, Monti Vitali, Mulazzano Monte, Mulazzano Ponte, Rivalta, Saliceto, San Michele Cavana, Santa Maria del Piano, Stadirano, Tassara"
Comuni confinanti,"Langhirano, Neviano degli Arduini, Parma, Traversetolo"
Altre informazioni,Altre informazioni
Cod. postale,43037
Prefisso,0521
Fuso orario,UTC+1
Codice ISTAT,034019
Cod. catastale,E547
Targa,PR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 780 GG[3]"
Nome abitanti,lesignanesi
Patrono,san Michele Arcangelo
Cartografia,Cartografia
Lesignano de' Bagni,Lesignano de' Bagni
Lesignano de' Bagni – MappaPosizione del comune di Lesignano de' Bagni nella provincia di Parma,Lesignano de' Bagni – MappaPosizione del comune di Lesignano de' Bagni nella provincia di Parma
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
