Sala Baganza comune,Sala Baganza comune.1
,
Sala Baganza – VedutaRocca Sanvitale,Sala Baganza – VedutaRocca Sanvitale
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Parma
Amministrazione,Amministrazione
Sindaco,Aldo Spina (lista civica di centro-sinistra Solidarietà) dal 6-6-2016 (2º mandato dal 3-10-2021)
Territorio,Territorio
Coordinate,44°42′47.3″N 10°13′39.1″E
Altitudine,176 m s.l.m.
Superficie,"30,76 km²"
Abitanti,6 115[1] (30-11-2025)
Densità,"198,8 ab./km²"
Frazioni,"Case Marconi, Casino de' Boschi, Castellaro, Limido, Maiatico, San Vitale Baganza, Segalara, Talignano"
Comuni confinanti,"Calestano, Collecchio, Felino, Fornovo di Taro, Parma, Terenzo"
Altre informazioni,Altre informazioni
Cod. postale,43038
Prefisso,0521
Fuso orario,UTC+1
Codice ISTAT,034031
Cod. catastale,H682
Targa,PR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 664 GG[3]"
Nome abitanti,salesi
Patrono,santi Stefano e Lorenzo
Giorno festivo,26 dicembre e 10 agosto
Cartografia,Cartografia
Sala Baganza,Sala Baganza
Sala Baganza – MappaPosizione del comune di Sala Baganza nella provincia di Parma,Sala Baganza – MappaPosizione del comune di Sala Baganza nella provincia di Parma
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
