Sissa Trecasali comune,Sissa Trecasali comune.1
,
Sissa Trecasali – VedutaRocca dei Terzi,Sissa Trecasali – VedutaRocca dei Terzi
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Parma
Amministrazione,Amministrazione
Sindaco,"Igino Zanichelli (lista civica ""Siamo Sissa Trecasali"") dal 9-6-2024"
Data di istituzione,1º gennaio 2014
Territorio,Territorio
Coordinate,44°56′44.14″N 10°16′47.81″E
Altitudine,32 m s.l.m.
Superficie,"72,71[1] km²"
Abitanti,7 997[2] (30-11-2025)
Densità,"109,98 ab./km²"
Frazioni,"Borgonovo, Casalfoschino, Coltaro, Gramignazzo, Isola Jesus, Favaletto, Sala, Palasone, Ronco Campo Canneto, San Nazzaro, San Quirico, Sissa, Sottargine, Torricella, Trecasali (sede comunale), Viarolo[3][4]"
Comuni confinanti,"Colorno, Fontanellato, Gussola (CR), Martignana di Po (CR), Parma, Roccabianca, San Secondo Parmense, Torricella del Pizzo (CR), Torrile"
Altre informazioni,Altre informazioni
Cod. postale,43018
Prefisso,0521
Fuso orario,UTC+1
Codice ISTAT,034049
Cod. catastale,M325
Targa,PR
Cl. sismica,zona 3 (sismicità bassa)[5]
Nome abitanti,sissesi e trecasalesi
Patrono,Madonna delle Spine
Giorno festivo,18 settembre
Cartografia,Cartografia
Sissa Trecasali,Sissa Trecasali
Sissa Trecasali – MappaPosizione del comune di Sissa Trecasali nella provincia di Parma,Sissa Trecasali – MappaPosizione del comune di Sissa Trecasali nella provincia di Parma
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
