Provincia di Parma provincia,Provincia di Parma provincia.1
,
"Provincia di Parma – VedutaPalazzo Giordani, sede dell'amministrazione provinciale","Provincia di Parma – VedutaPalazzo Giordani, sede dell'amministrazione provinciale"
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Amministrazione,Amministrazione
Capoluogo,Parma
Presidente,Alessandro Fadda (PD) dal 29-9-2024
Data di istituzione,1859
Territorio,Territorio
Coordinate del capoluogo,44°47′42.2″N 10°19′52.3″E
Superficie,"3 447,48[1] km²"
Abitanti,457 281[2] (31-10-2025)
Densità,"132,64 ab./km²"
Comuni,44 comuni
Province confinanti,"Mantova (Lombardia), Reggio Emilia, Cremona (Lombardia), Piacenza, Genova (Liguria), La Spezia (Liguria), Massa-Carrara (Toscana)"
Altre informazioni,Altre informazioni
Cod. postale,43121-43126 (Parma) 43010-43059 (provincia)
Prefisso,"0521, 0524, 0525"
Fuso orario,UTC+1
ISO 3166-2,IT-PR
Codice ISTAT,034
Targa,PR
Nome abitanti,parmensi (parmigiani gli abitanti del capoluogo)[3]
Cartografia,Cartografia
Provincia di Parma – Localizzazione,Provincia di Parma – Localizzazione
Provincia di Parma – MappaPosizione della provincia di Parma all'interno dell'Emilia-Romagna.,Provincia di Parma – MappaPosizione della provincia di Parma all'interno dell'Emilia-Romagna.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
