Bedonia comune,Bedonia comune.1
,
Bedonia – Veduta,Bedonia – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Parma
Amministrazione,Amministrazione
Sindaco,Gianpaolo Serpagli (lista civica Bedonia e le sue valli) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,44°30′N 9°38′E
Altitudine,500 m s.l.m.
Superficie,"169,56 km²"
Abitanti,3 104[1] (30-11-2025)
Densità,"18,31 ab./km²"
Frazioni,"Anzola, Alpe, Borio, Bruschi di Sopra, Bruschi di Sotto, Calice, Campore, Caneso, Carniglia, Casaleto, Casalporino, Casamurata, Case Gelana, Castagna, Castagnola, Castellaro, Cavadasca, Cavignaga, Ceio, Cese di Romezzano, Chiesiola, Cognole, Tornolo, Costa Alta, Costa Belvedere, Costa della Romana, Costa di Borio, Custi, Drusco, Follo, Fontanabonardi, Fontanachiosa, Fontanino, Foppiano, Forana, Fornolo, Illica, Le Coste, Libbia, Liveglia, Marazzano, Masanti di Sopra, Masanti di Sotto, Momarola, Montarsiccio, Montedoro, Montevacà, Monti, Moronera, Nociveglia, Piane di Carniglia, Pilati, Ponteceno, Porcile, Prato, Revoleto, Rio Grande, Rio Merlino, Rio Pansamora, Romezzano, Roncole, Salarolo, San Marco, Scopolo, Segalino, Selvola, Serra, Setterone, Spora, Strepeto, Tasola, Tomba, Travaglini, Volpara"
Comuni confinanti,"Bardi, Compiano, Ferriere (PC), Santo Stefano d'Aveto (GE), Tornolo"
Altre informazioni,Altre informazioni
Cod. postale,43041
Prefisso,0525
Fuso orario,UTC+1
Codice ISTAT,034003
Cod. catastale,A731
Targa,PR
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 3 000 GG[3]"
Nome abitanti,bedoniesi
Patrono,sant'Antonino
Cartografia,Cartografia
Bedonia,Bedonia
Bedonia – MappaPosizione del comune di Bedonia nella provincia di Parma,Bedonia – MappaPosizione del comune di Bedonia nella provincia di Parma
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
