Langhirano comune,Langhirano comune.1
,
"Langhirano – VedutaIl castello di Torrechiara, frazione di Langhirano","Langhirano – VedutaIl castello di Torrechiara, frazione di Langhirano"
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Parma
Amministrazione,Amministrazione
Sindaco,Giordano Bricoli (lista civica Langhirano Civica) dal 26-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,44°36′52.3″N 10°15′58.2″E
Altitudine,265 m s.l.m.
Superficie,"70,84 km²"
Abitanti,10 956[1] (30-11-2025)
Densità,"154,66 ab./km²"
Frazioni,"Antesica, Arola, Berzola, Calicella, Casatico, Cascinapiano, Case Manfredelli, Case Schianchi, Case Ughi, Cattabiano, Costa di Castrignano, Cozzano, Fontana, Goiano, Il Chioso, Il Pozzo, Manzano, Mattaleto, Pastorello, Pilastro, Pranello, Querceto, Quinzano, Riano, Sodina, Strognano, Tabiano di Castrignano, Tordenaso, Torrechiara, Valle di Castrignano, Vidiana"
Comuni confinanti,"Calestano, Corniglio, Felino, Lesignano de' Bagni, Neviano degli Arduini, Parma, Tizzano Val Parma"
Altre informazioni,Altre informazioni
Cod. postale,43013
Prefisso,0521
Fuso orario,UTC+1
Codice ISTAT,034018
Cod. catastale,E438
Targa,PR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 796 GG[3]"
Nome abitanti,langhiranesi
Patrono,san Giacomo
Giorno festivo,25 marzo
Cartografia,Cartografia
Langhirano,Langhirano
Langhirano – MappaPosizione del Comune di Langhirano nella Provincia di Parma,Langhirano – MappaPosizione del Comune di Langhirano nella Provincia di Parma
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
