San Secondo Parmense comune,San Secondo Parmense comune.1
,
San Secondo Parmense – VedutaScorcio del centro storico.,San Secondo Parmense – VedutaScorcio del centro storico.
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Parma
Amministrazione,Amministrazione
Sindaco,Giulia Zucchi (lista civica di centro-sinistra Una nuova San Secondo) dal 4-10-2021
Territorio,Territorio
Coordinate,44°55′N 10°14′E
Altitudine,38 m s.l.m.
Superficie,"37,71 km²"
Abitanti,5 927[1] (30-11-2025)
Densità,"157,17 ab./km²"
Frazioni,"Pizzo, Castell'Aicardi, Copezzato, Corticelli, Martorano, Pavarara, Ronchetti, Valle, Villa Baroni"
Comuni confinanti,"Fontanellato, Roccabianca, Sissa Trecasali, Soragna"
Altre informazioni,Altre informazioni
Cod. postale,43017
Prefisso,0521
Fuso orario,UTC+1
Codice ISTAT,034033
Cod. catastale,I153
Targa,PR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 506 GG[3]"
Nome abitanti,sansecondini
Patrono,Beata Vergine Annunziata
Giorno festivo,25 marzo
Cartografia,Cartografia
San Secondo Parmense,San Secondo Parmense
San Secondo Parmense – MappaPosizione del comune di San Secondo Parmense nella provincia di Parma,San Secondo Parmense – MappaPosizione del comune di San Secondo Parmense nella provincia di Parma
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
