Pellegrino Parmense comune,Pellegrino Parmense comune.1
,
Pellegrino Parmense – Veduta,Pellegrino Parmense – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Parma
Amministrazione,Amministrazione
Sindaco,Alberto Canepari (lista civica Impegno comune per Pellegrino) dal 22-9-2020
Territorio,Territorio
Coordinate,44°44′00″N 9°55′37.3″E
Altitudine,410 m s.l.m.
Superficie,"82,08 km²"
Abitanti,968[1] (30-11-2025)
Densità,"11,79 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Bore, Medesano, Salsomaggiore Terme, Varano de' Melegari, Vernasca (PC)"
Altre informazioni,Altre informazioni
Cod. postale,43047
Prefisso,0524
Fuso orario,UTC+1
Codice ISTAT,034028
Cod. catastale,G424
Targa,PR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 982 GG[3]"
Nome abitanti,pellegrinesi
Patrono,san Giuseppe
Giorno festivo,19 marzo
Cartografia,Cartografia
Pellegrino Parmense,Pellegrino Parmense
Pellegrino Parmense – MappaPosizione del comune di Pellegrino Parmense nella provincia di Parma,Pellegrino Parmense – MappaPosizione del comune di Pellegrino Parmense nella provincia di Parma
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
