Bardi comune,Bardi comune.1
,
Bardi – VedutaVeduta del paese con il castello dei Landi,Bardi – VedutaVeduta del paese con il castello dei Landi
Localizzazione,Localizzazione
Stato,Italia
Regione,Emilia-Romagna
Provincia,Parma
Amministrazione,Amministrazione
Sindaco,Valentina Pontremoli (centro e civici) dal 12-6-2022
Territorio,Territorio
Coordinate,44°38′01″N 9°43′52″E
Altitudine,625 m s.l.m.
Superficie,"189,9 km²"
Abitanti,1 947[1] (30-11-2025)
Densità,"10,25 ab./km²"
Frazioni,(Vedi sezione)
Comuni confinanti,"Bedonia, Bore, Borgo Val di Taro, Compiano, Farini (PC), Ferriere (PC), Morfasso (PC), Valmozzola, Varsi"
Altre informazioni,Altre informazioni
Cod. postale,43032
Prefisso,0525
Fuso orario,UTC+1
Codice ISTAT,034002
Cod. catastale,A646
Targa,PR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 257 GG[3]"
Nome abitanti,bardigiani
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Bardi,Bardi
Bardi – MappaPosizione del comune di Bardi nella provincia di Parma,Bardi – MappaPosizione del comune di Bardi nella provincia di Parma
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
