Lentella comune,Lentella comune.1
,
Lentella – VedutaPanorama da Monte Calvario,Lentella – VedutaPanorama da Monte Calvario
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Chieti
Amministrazione,Amministrazione
Sindaco,"Marco Mancini (Lista civica ""Lentella democratica"") dal 4-10-2021"
Territorio,Territorio
Coordinate,42°00′N 14°41′E
Altitudine,398 m s.l.m.
Superficie,"12,62 km²"
Abitanti,650[1] (30-11-2025)
Densità,"51,51 ab./km²"
Comuni confinanti,"Cupello, Fresagrandinaria, Mafalda (CB), Montenero di Bisaccia (CB)"
Altre informazioni,Altre informazioni
Cod. postale,66050
Prefisso,0873
Fuso orario,UTC+1
Codice ISTAT,069047
Cod. catastale,E531
Targa,CH
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 793 GG[3]"
Nome abitanti,lentellesi
Patrono,Santi Cosma e Damiano
Cartografia,Cartografia
Lentella,Lentella
Lentella – MappaPosizione del comune di Lentella all'interno della provincia di Chieti,Lentella – MappaPosizione del comune di Lentella all'interno della provincia di Chieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
