Filetto comune,Filetto comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Chieti
Amministrazione,Amministrazione
Sindaco,Rocco Di Nanno (Lista Civica Il coraggio delle idee) dal 26-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,42°13′45.52″N 14°14′42.04″E
Altitudine,403 m s.l.m.
Superficie,"13,53 km²"
Abitanti,808[1] (30-11-2025)
Densità,"59,72 ab./km²"
Frazioni,"Casone Lenzetta, Viano, Calvario, Castagna, Cavallo Morto, Colle Di Sciore"
Comuni confinanti,"Ari, Casacanditella, Guardiagrele, Orsogna, San Martino sulla Marrucina, Vacri"
Altre informazioni,Altre informazioni
Cod. postale,66030
Prefisso,0871
Fuso orario,UTC+1
Codice ISTAT,069032
Cod. catastale,D592
Targa,CH
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 801 GG[3]"
Nome abitanti,filettesi
Patrono,san Giacomo
Giorno festivo,25 luglio
Cartografia,Cartografia
Filetto,Filetto
Filetto – MappaPosizione del comune di Filetto all'interno della provincia di Chieti,Filetto – MappaPosizione del comune di Filetto all'interno della provincia di Chieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
