Torricella Peligna comune,Torricella Peligna comune.1
,
Torricella Peligna – Veduta,Torricella Peligna – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Chieti
Amministrazione,Amministrazione
Sindaco,Carmine Ficca (lista civica) dall'11-6-2017 (2º mandato dal 12-6-2022)
Territorio,Territorio
Coordinate,42°01′N 14°16′E
Altitudine,910 m s.l.m.
Superficie,"36,11 km²"
Abitanti,1 080[1] (30-11-2025)
Densità,"29,91 ab./km²"
Frazioni,"Bufalara, Colle del Ponte, Colle Zingaro, Fallascoso, Purgatoio, Riga Tre Confini, Santa Giusta, Madonna del Roseto."
Comuni confinanti,"Bomba, Colledimacine, Gessopalena, Lama dei Peligni, Montenerodomo, Pennadomo, Roccascalegna"
Altre informazioni,Altre informazioni
Cod. postale,66019
Prefisso,0872
Fuso orario,UTC+1
Codice ISTAT,069095
Cod. catastale,L291
Targa,CH
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 561 GG[3]"
Nome abitanti,torricellani
Giorno festivo,10 luglio
Cartografia,Cartografia
Torricella Peligna,Torricella Peligna
Torricella Peligna – MappaPosizione del comune di Torricella Peligna all'interno della provincia di Chieti,Torricella Peligna – MappaPosizione del comune di Torricella Peligna all'interno della provincia di Chieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
