Torrevecchia Teatina comune,Torrevecchia Teatina comune.1
,
"Torrevecchia Teatina – Vedutapiazza San Rocco, edificio dell'Università Telematica ""Leonardo da Vinci""","Torrevecchia Teatina – Vedutapiazza San Rocco, edificio dell'Università Telematica ""Leonardo da Vinci"""
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Chieti
Amministrazione,Amministrazione
Sindaco,Francesco Seccia[1] (Lista Civica Uniti per Torrevecchia) dal 27-5-2019
Territorio,Territorio
Coordinate,42°23′39.32″N 14°13′58.34″E
Altitudine,220 m s.l.m.
Superficie,"14,68 km²"
Abitanti,4 198[2] (30-11-2025)
Densità,"285,97 ab./km²"
Frazioni,"Castelferrato, Torremontanara"
Comuni confinanti,"Chieti, Francavilla al Mare, Ripa Teatina, San Giovanni Teatino"
Altre informazioni,Altre informazioni
Cod. postale,66010
Prefisso,0871
Fuso orario,UTC+1
Codice ISTAT,069094
Cod. catastale,L284
Targa,CH
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona D, 1 526 GG[4]"
Nome abitanti,torrevecchiani
Patrono,san Rocco
Giorno festivo,16 agosto
PIL,"(nominale) 71,9 mln € (2021)[5]"
PIL procapite,"(nominale) 17 214,1 € (2021)[5]"
Cartografia,Cartografia
Torrevecchia Teatina,Torrevecchia Teatina
Torrevecchia Teatina – MappaPosizione del comune di Torrevecchia Teatina all'interno della provincia di Chieti,Torrevecchia Teatina – MappaPosizione del comune di Torrevecchia Teatina all'interno della provincia di Chieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
