Pietraferrazzana comune,Pietraferrazzana comune.1
,
Pietraferrazzana – Veduta,Pietraferrazzana – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Chieti
Amministrazione,Amministrazione
Sindaco,Ciro Carpineta (Lista civica) dal 5-06-2016
Territorio,Territorio
Coordinate,41°58′N 14°22′E
Altitudine,357 m s.l.m.
Superficie,"4,37 km²"
Abitanti,126[1] (30-11-2025)
Densità,"28,83 ab./km²"
Comuni confinanti,"Colledimezzo, Monteferrante, Villa Santa Maria"
Altre informazioni,Altre informazioni
Cod. postale,66040
Prefisso,0872
Fuso orario,UTC+1
Codice ISTAT,069103
Cod. catastale,G613
Targa,CH
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 732 GG[3]"
Nome abitanti,pietraferrazzanesi o pietresi
Patrono,santa Vittoria
Giorno festivo,23 dicembre
Cartografia,Cartografia
Pietraferrazzana,Pietraferrazzana
Pietraferrazzana – MappaPosizione del comune di Pietraferrazzana all'interno della provincia di Chieti,Pietraferrazzana – MappaPosizione del comune di Pietraferrazzana all'interno della provincia di Chieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
