San Giovanni Lipioni comune,San Giovanni Lipioni comune.1
,
San Giovanni Lipioni – VedutaIl centro storico visto da Via Fontana/SP202,San Giovanni Lipioni – VedutaIl centro storico visto da Via Fontana/SP202
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Chieti
Amministrazione,Amministrazione
Sindaco,Nicola Rossi[1] (lista civica Uniti Si Può) dal 09-06-2024 (2º mandato)
Territorio,Territorio
Coordinate,41°51′N 14°34′E
Altitudine,545 m s.l.m.
Superficie,"8,67 km²"
Abitanti,140[2] (30-11-2025)
Densità,"16,15 ab./km²"
Comuni confinanti,"Castelguidone, Celenza sul Trigno, Roccavivara (CB), Torrebruna"
Altre informazioni,Altre informazioni
Cod. postale,66050
Prefisso,0873
Fuso orario,UTC+1
Codice ISTAT,069080
Cod. catastale,H923
Targa,CH
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona D, 2 062 GG[4]"
Nome abitanti,sangiovannesi
Patrono,San Felice Martire
Giorno festivo,20 agosto
Cartografia,Cartografia
San Giovanni Lipioni,San Giovanni Lipioni
San Giovanni Lipioni – MappaPosizione del Comune di San Giovanni Lipioni all'interno della Provincia di Chieti,San Giovanni Lipioni – MappaPosizione del Comune di San Giovanni Lipioni all'interno della Provincia di Chieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
