Roccaspinalveti comune,Roccaspinalveti comune.1
,
Roccaspinalveti – Veduta,Roccaspinalveti – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Chieti
Amministrazione,Amministrazione
Sindaco,Claudia Fiore[1] (lista civica Roccaspinalveti nel Cuore) dal 10-6-2024
Territorio,Territorio
Coordinate,41°56′N 14°28′E
Altitudine,740 m s.l.m.
Superficie,"33,01 km²"
Abitanti,1 127[2] (30-11-2025)
Densità,"34,14 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Carpineto Sinello, Carunchio, Castiglione Messer Marino, Fraine, Guilmi, Montazzoli"
Altre informazioni,Altre informazioni
Cod. postale,66050
Prefisso,0873
Fuso orario,UTC+1
Codice ISTAT,069076
Cod. catastale,H448
Targa,CH
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 353 GG[4]"
Nome abitanti,roccolani
Patrono,san Pio
Giorno festivo,11 luglio
PIL,(nominale) 22 mln €[5]
PIL procapite,(nominale) 16 238 €[5]
Cartografia,Cartografia
Roccaspinalveti,Roccaspinalveti
Roccaspinalveti – MappaPosizione del comune di Roccaspinalveti all'interno della provincia di Chieti,Roccaspinalveti – MappaPosizione del comune di Roccaspinalveti all'interno della provincia di Chieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
