Sant'Eusanio del Sangro comune,Sant'Eusanio del Sangro comune.1
,
Sant'Eusanio del Sangro – Veduta,Sant'Eusanio del Sangro – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Chieti
Amministrazione,Amministrazione
Sindaco,Raffaele Verratti (lista civica) dal 16-5-2011
Territorio,Territorio
Coordinate,42°10′N 14°20′E
Altitudine,200 m s.l.m.
Superficie,"23,83 km²"
Abitanti,2 228[1] (30-11-2025)
Densità,"93,5 ab./km²"
Frazioni,"Brecciaio, Candeloro, Castellata Forestieri, Castellata Tori, Castello, Cotti, Fonte Paduli, Passoterrato, Piana delle Mele, Santa Lucia, Saponelli, Villa Rosato"
Comuni confinanti,"Altino, Atessa, Casoli, Castel Frentano, Guardiagrele, Lanciano"
Altre informazioni,Altre informazioni
Cod. postale,66037
Prefisso,0872
Fuso orario,UTC+1
Codice ISTAT,069085
Cod. catastale,I335
Targa,CH
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 507 GG[3]"
Nome abitanti,santeusaniesi
Patrono,san Filippo Neri
Giorno festivo,26 maggio
Cartografia,Cartografia
Sant'Eusanio del Sangro,Sant'Eusanio del Sangro
Sant'Eusanio del Sangro – MappaPosizione del comune di Sant'Eusanio del Sangro all'interno della provincia di Chieti,Sant'Eusanio del Sangro – MappaPosizione del comune di Sant'Eusanio del Sangro all'interno della provincia di Chieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
