Treglio comune,Treglio comune.1
,
Treglio – VedutaVeduta di Piazza San Giorgio e del palazzo vescovile,Treglio – VedutaVeduta di Piazza San Giorgio e del palazzo vescovile
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Chieti
Amministrazione,Amministrazione
Sindaco,Massimiliano Berghella[1] (lista civica Insieme per Treglio) dal 25-5-2014
Territorio,Territorio
Coordinate,42°16′N 14°25′E
Altitudine,183 m s.l.m.
Superficie,"4,88 km²"
Abitanti,1 727[2] (30-11-2025)
Densità,"353,89 ab./km²"
Frazioni,"Paglieroni, Sacchetti, San Giorgio"
Comuni confinanti,"Lanciano, Rocca San Giovanni, San Vito Chietino"
Altre informazioni,Altre informazioni
Cod. postale,66030
Prefisso,0872
Fuso orario,UTC+1
Codice ISTAT,069096
Cod. catastale,L363
Targa,CH
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona D, 1 471 GG[4]"
Nome abitanti,tregliesi
Patrono,"san Giorgio, santa Maria Assunta, san Rocco"
Giorno festivo,"23 aprile, 15 agosto - 16 agosto"
PIL,(nominale) 37 mln €[5]
PIL procapite,(nominale) 22 727 €[5]
Cartografia,Cartografia
Treglio,Treglio
Treglio – MappaPosizione del comune di Treglio all'interno della provincia di Chieti,Treglio – MappaPosizione del comune di Treglio all'interno della provincia di Chieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
