Bomba comune,Bomba comune.1
,
Bomba – VedutaVeduta di Bomba,Bomba – VedutaVeduta di Bomba
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Chieti
Amministrazione,Amministrazione
Sindaco,Raffaele Nasuti (lista civica Bomba prospettiva comune) dal 26-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,42°02′N 14°22′E
Altitudine,424 m s.l.m.
Superficie,"17,26 km²"
Abitanti,685[1] (30-11-2025)
Densità,"39,69 ab./km²"
Frazioni,"Sambuceto, Vallecupa, Valleconca"
Comuni confinanti,"Archi, Atessa, Pennadomo, Roccascalegna, Tornareccio, Torricella Peligna, Villa Santa Maria"
Altre informazioni,Altre informazioni
Cod. postale,66042
Prefisso,0872
Fuso orario,UTC+1
Codice ISTAT,069006
Cod. catastale,A956
Targa,CH
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 832 GG[3]"
Nome abitanti,bombesi
Patrono,san Donato
Giorno festivo,7 agosto
Cartografia,Cartografia
Bomba,Bomba
Bomba – MappaPosizione del comune di Bomba all'interno della provincia di Chieti,Bomba – MappaPosizione del comune di Bomba all'interno della provincia di Chieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
