Fara San Martino comune,Fara San Martino comune.1
,
Fara San Martino – Veduta,Fara San Martino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Chieti
Amministrazione,Amministrazione
Sindaco,"Antonio Tavani (lista civica ""L'aquilone idee per Fara"") dal 04-10-2021"
Territorio,Territorio
Coordinate,42°05′27.6″N 14°12′22.32″E
Altitudine,440 m s.l.m.
Superficie,"44,69 km²"
Abitanti,1 260[1] (30-11-2025)
Densità,"28,19 ab./km²"
Frazioni,Fonte l'Abate
Comuni confinanti,"Caramanico Terme (PE), Civitella Messer Raimondo, Lama dei Peligni, Pacentro (AQ), Palombaro, Pennapiedimonte, Sant'Eufemia a Maiella (PE)"
Altre informazioni,Altre informazioni
Cod. postale,66015
Prefisso,0872
Fuso orario,UTC+1
Codice ISTAT,069031
Cod. catastale,D495
Targa,CH
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 856 GG[3]"
Nome abitanti,faresi
Patrono,sant'Antonio di Padova
Giorno festivo,24 agosto
PIL,(nominale) 34 mln €[4]
PIL procapite,(nominale) 24 076 €[4]
Cartografia,Cartografia
Fara San Martino,Fara San Martino
Fara San Martino – MappaPosizione del comune di Fara San Martino all'interno della provincia di Chieti,Fara San Martino – MappaPosizione del comune di Fara San Martino all'interno della provincia di Chieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
