Taranta Peligna comune,Taranta Peligna comune.1
,
Taranta Peligna – Vedutaveduta dal sacrario della Brigata Maiella,Taranta Peligna – Vedutaveduta dal sacrario della Brigata Maiella
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Chieti
Amministrazione,Amministrazione
Sindaco,Francesco Piccone (lista civica Progetto Taranta) dall'8 e 9-6-2024
Territorio,Territorio
Coordinate,42°01′N 14°10′E
Altitudine,460 m s.l.m.
Superficie,"21,9[1] km²"
Abitanti,303[2] (30-11-2025)
Densità,"13,84 ab./km²"
Frazioni,Ortole
Comuni confinanti,"Pacentro (AQ), Lama dei Peligni, Colledimacine, Lettopalena, Palena"
Altre informazioni,Altre informazioni
Cod. postale,66018
Prefisso,0872
Fuso orario,UTC+1
Codice ISTAT,069089
Cod. catastale,L047
Targa,CH
Cl. sismica,zona 1 (sismicità alta)[3]
Cl. climatica,"zona D, 1 886 GG[4]"
Nome abitanti,tarantolesi
Patrono,sant'Ubaldo
Giorno festivo,16 maggio
Cartografia,Cartografia
Taranta Peligna,Taranta Peligna
Taranta Peligna – MappaPosizione del comune di Taranta Peligna all'interno della provincia di Chieti,Taranta Peligna – MappaPosizione del comune di Taranta Peligna all'interno della provincia di Chieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
