Rocca San Giovanni comune,Rocca San Giovanni comune.1
,
Rocca San Giovanni – VedutaIl palazzo comunale,Rocca San Giovanni – VedutaIl palazzo comunale
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Chieti
Amministrazione,Amministrazione
Sindaco,Fabio Caravaggio (lista civica Rocca del domani) dal 4-10-2021
Territorio,Territorio
Coordinate,42°15′N 14°28′E
Altitudine,155 m s.l.m.
Superficie,"21,7 km²"
Abitanti,2 304[1] (30-11-2025)
Densità,"106,18 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Fossacesia, Lanciano, San Vito Chietino, Treglio"
Altre informazioni,Altre informazioni
Cod. postale,66020
Prefisso,0872
Fuso orario,UTC+1
Codice ISTAT,069074
Cod. catastale,H439
Targa,CH
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 429 GG[3]"
Nome abitanti,roccolani
Patrono,san Matteo
Giorno festivo,21 settembre
Cartografia,Cartografia
Rocca San Giovanni,Rocca San Giovanni
Rocca San Giovanni – MappaPosizione del comune di Rocca San Giovanni all'interno della provincia di Chieti,Rocca San Giovanni – MappaPosizione del comune di Rocca San Giovanni all'interno della provincia di Chieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
