Schiavi di Abruzzo comune,Schiavi di Abruzzo comune.1
,
Schiavi di Abruzzo – VedutaVeduta del centro abitato,Schiavi di Abruzzo – VedutaVeduta del centro abitato
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Chieti
Amministrazione,Amministrazione
Sindaco,Luciano Piluso (lista civica) dall'8-6-2009 (4º mandato dall'8-6-2024)
Territorio,Territorio
Coordinate,41°48′57.73″N 14°29′05.22″E
Altitudine,1 172 m s.l.m.
Superficie,"45,58 km²"
Abitanti,614[1] (30-11-2025)
Densità,"13,47 ab./km²"
Frazioni,"Badia, Cannavina, Casali, Cupello, Salce, San Martino, Taverna, Valli, Valloni"
Comuni confinanti,"Agnone (IS), Belmonte del Sannio (IS), Civitanova del Sannio (IS), Castelguidone, Castiglione Messer Marino, Poggio Sannita (IS), Salcito (CB), Trivento (CB)"
Altre informazioni,Altre informazioni
Cod. postale,66045
Prefisso,0873
Fuso orario,UTC+1
Codice ISTAT,069088
Cod. catastale,I526
Targa,CH
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 954 GG[3]"
Nome abitanti,schiavesi
Patrono,san Maurizio
Giorno festivo,22 settembre
PIL,(nominale) 12 mln €[4]
PIL procapite,(nominale) 14 098 €[4]
Cartografia,Cartografia
Schiavi di Abruzzo,Schiavi di Abruzzo
Schiavi di Abruzzo – MappaPosizione del comune di Schiavi di Abruzzo all'interno della provincia di Chieti,Schiavi di Abruzzo – MappaPosizione del comune di Schiavi di Abruzzo all'interno della provincia di Chieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
