Lanciano comune,Lanciano comune.1
,
Lanciano – VedutaVeduta della Città Vecchia,Lanciano – VedutaVeduta della Città Vecchia
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Chieti
Amministrazione,Amministrazione
Sindaco,Filippo Paolini (lista civica di centro-destra) dal 18-10-2021[1]
Territorio,Territorio
Coordinate,42°13′52.36″N 14°23′25.7″E
Altitudine,265 m s.l.m.
Superficie,"66,94 km²"
Abitanti,33 844[2] (30-11-2025)
Densità,"505,59 ab./km²"
Frazioni,Vedi sezione
Comuni confinanti,"Atessa, Castel Frentano, Fossacesia, Frisa, Mozzagrogna, Orsogna, Paglieta, Poggiofiorito, Rocca San Giovanni, San Vito Chietino, Sant'Eusanio del Sangro, Treglio, Santa Maria Imbaro"
Altre informazioni,Altre informazioni
Cod. postale,66034
Prefisso,0872
Fuso orario,UTC+1
Codice ISTAT,069046
Cod. catastale,E435
Targa,CH
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona D, 1 638 GG[4]"
Nome abitanti,lancianesi
Patrono,Madonna del Ponte
Giorno festivo,16 settembre
PIL,"(nominale) 644,9 mln € (2021)[5]"
PIL procapite,"(nominale) 18 885,7 € (2021)[5]"
Cartografia,Cartografia
Lanciano,Lanciano
Lanciano – MappaPosizione del comune di Lanciano all'interno della provincia di Chieti,Lanciano – MappaPosizione del comune di Lanciano all'interno della provincia di Chieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
