Montebello sul Sangro comune,Montebello sul Sangro comune.1
,
Montebello sul Sangro – Veduta,Montebello sul Sangro – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Chieti
Amministrazione,Amministrazione
Sindaco,Nicola Di Fabrizio[1] (lista civica di centro-destra Crescere insieme) dal 26-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,41°59′N 14°20′E
Altitudine,810 m s.l.m.
Superficie,"5,38 km²"
Abitanti,81[2] (30-11-2025)
Densità,"15,06 ab./km²"
Comuni confinanti,"Civitaluparella, Montelapiano, Pennadomo, Villa Santa Maria"
Altre informazioni,Altre informazioni
Cod. postale,66040
Prefisso,0872
Fuso orario,UTC+1
Codice ISTAT,069009
Cod. catastale,B268
Targa,CH
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 314 GG[4]"
Nome abitanti,montebellesi
Patrono,San Ciriaco
Giorno festivo,8 agosto
Cartografia,Cartografia
Montebello sul Sangro,Montebello sul Sangro
Montebello sul Sangro – MappaPosizione del comune di Montebello sul Sangro all'interno della provincia di Chieti,Montebello sul Sangro – MappaPosizione del comune di Montebello sul Sangro all'interno della provincia di Chieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
