Celenza sul Trigno comune,Celenza sul Trigno comune.1
,
Celenza sul Trigno – VedutaIl centro storico di Celenza sul Trigno con il campanile della chiesa madre,Celenza sul Trigno – VedutaIl centro storico di Celenza sul Trigno con il campanile della chiesa madre
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Chieti
Amministrazione,Amministrazione
Sindaco,Walter Di Laudo[1] (lista civica di centro-sinistra Uniti si rinasce) dal 5-6-2016 (2º mandato dal 3-10-2021)
Territorio,Territorio
Coordinate,41°52′N 14°34′E
Altitudine,646 m s.l.m.
Superficie,"22,68 km²"
Abitanti,756[2] (30-11-2025)
Densità,"33,33 ab./km²"
Frazioni,"Martinelle, Strette"
Comuni confinanti,"Carunchio, Montefalcone nel Sannio (CB), Montemitro (CB), Palmoli, Roccavivara (CB), San Giovanni Lipioni, Torrebruna, Tufillo"
Altre informazioni,Altre informazioni
Cod. postale,66050
Prefisso,0873
Fuso orario,UTC+1
Codice ISTAT,069021
Cod. catastale,C428
Targa,CH
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 212 GG[4]"
Nome abitanti,celenzani
Patrono,san Donato
Giorno festivo,7 agosto
PIL,(nominale) 13878 dati 2016
Cartografia,Cartografia
Celenza sul Trigno,Celenza sul Trigno
Celenza sul Trigno – MappaPosizione del comune di Celenza sul Trigno all'interno della provincia di Chieti,Celenza sul Trigno – MappaPosizione del comune di Celenza sul Trigno all'interno della provincia di Chieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
