Casoli comune,Casoli comune.1
,
Casoli – VedutaVeduta del centro storico con il Castello Ducale,Casoli – VedutaVeduta del centro storico con il Castello Ducale
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Chieti
Amministrazione,Amministrazione
Sindaco,Massimo Tiberini[1] (lista civica di centro-sinistra Uniti per Casoli) dal 6-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,42°06′54.41″N 14°17′26.18″E
Altitudine,378 m s.l.m.
Superficie,"67,04 km²"
Abitanti,5 037[2] (30-11-2025)
Densità,"75,13 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Altino, Civitella Messer Raimondo, Gessopalena, Guardiagrele, Palombaro, Roccascalegna, Sant'Eusanio del Sangro"
Altre informazioni,Altre informazioni
Cod. postale,66043
Prefisso,0872
Fuso orario,UTC+1
Codice ISTAT,069017
Cod. catastale,B985
Targa,CH
Cl. sismica,zona 1 (sismicità alta)[3]
Cl. climatica,"zona D, 1 763 GG[4]"
Nome abitanti,casolani
Patrono,santa Reparata
Giorno festivo,8 ottobre
Cartografia,Cartografia
Casoli,Casoli
Casoli – MappaPosizione del comune di Casoli all'interno della provincia di Chieti,Casoli – MappaPosizione del comune di Casoli all'interno della provincia di Chieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
