Vacri comune,Vacri comune.1
,
Vacri – VedutaVeduta di Vacri,Vacri – VedutaVeduta di Vacri
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Chieti
Amministrazione,Amministrazione
Sindaco,Piergiuseppe Mammarella[1] (Lista Civica Il Giglio) dal 25-5-2014
Territorio,Territorio
Coordinate,42°17′52.22″N 14°13′57.72″E
Altitudine,310 m s.l.m.
Superficie,"12,27 km²"
Abitanti,1 480[2] (30-11-2025)
Densità,"120,62 ab./km²"
Frazioni,"Fontanelle, Maiure, Porcareccia, Sant'Agata, San Vincenzo, Selve"
Comuni confinanti,"Ari, Bucchianico, Casacanditella, Filetto, Villamagna"
Altre informazioni,Altre informazioni
Cod. postale,66010
Prefisso,0871
Fuso orario,UTC+1
Codice ISTAT,069098
Cod. catastale,L526
Targa,CH
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona D, 1 512 GG[4]"
Nome abitanti,vacresi
Patrono,san Biagio
Giorno festivo,3 febbraio
Cartografia,Cartografia
Vacri,Vacri
Vacri – MappaPosizione del comune di Vacri all'interno della provincia di Chieti,Vacri – MappaPosizione del comune di Vacri all'interno della provincia di Chieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
