Fara Filiorum Petri comune,Fara Filiorum Petri comune.1
,
Fara Filiorum Petri – VedutaVeduta del centro storico in inverno,Fara Filiorum Petri – VedutaVeduta del centro storico in inverno
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Chieti
Amministrazione,Amministrazione
Sindaco,Paolo Pitetti (Lista civica Fare per Fara) dal 9-6-2024
Territorio,Territorio
Coordinate,42°14′54″N 14°11′09″E
Altitudine,227 m s.l.m.
Superficie,"14,96 km²"
Abitanti,1 972[1] (30-11-2025)
Densità,"131,82 ab./km²"
Frazioni,vedi lista
Comuni confinanti,"Bucchianico, Casacanditella, Pretoro, Rapino, Roccamontepiano, San Martino sulla Marrucina"
Altre informazioni,Altre informazioni
Cod. postale,66010
Prefisso,0871
Fuso orario,UTC+1
Codice ISTAT,069030
Cod. catastale,D494
Targa,CH
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 511 GG[3]"
Nome abitanti,faresi
Patrono,sant'Antonio abate
Giorno festivo,17 gennaio
Cartografia,Cartografia
Fara Filiorum Petri,Fara Filiorum Petri
Fara Filiorum Petri – MappaPosizione del comune di Fara Filiorum Petri all'interno della provincia di Chieti,Fara Filiorum Petri – MappaPosizione del comune di Fara Filiorum Petri all'interno della provincia di Chieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
