Furci comune,Furci comune.1
,
Furci – Veduta,Furci – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Chieti
Amministrazione,Amministrazione
Sindaco,Fabio Di Vito[1] (lista civica Uniti verso il futuro) dal 13-6-2022
Territorio,Territorio
Coordinate,42°01′58.24″N 14°36′45.86″E
Altitudine,550 m s.l.m.
Superficie,"25,99 km²"
Abitanti,783[2] (30-11-2025)
Densità,"30,13 ab./km²"
Frazioni,Fonte Di Muzio[3]
Comuni confinanti,"Cupello, Fresagrandinaria, Gissi, Monteodorisio, Palmoli, San Buono"
Altre informazioni,Altre informazioni
Cod. postale,66050
Prefisso,0873
Fuso orario,UTC+1
Codice ISTAT,069038
Cod. catastale,D823
Targa,CH
Cl. sismica,zona 3 (sismicità bassa)[4]
Cl. climatica,"zona D, 2 021 GG[5]"
Nome abitanti,furcesi
Patrono,beato Angelo da Furci
Giorno festivo,13 settembre
PIL,"(nominale) 9,4 mln € (2022)[6]"
PIL procapite,(nominale) 15 037 € (2022)[6]
Cartografia,Cartografia
Furci,Furci
Furci – MappaPosizione del comune di Furci all'interno della provincia di Chieti,Furci – MappaPosizione del comune di Furci all'interno della provincia di Chieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
